id,position
1,Midfielders
2,Forwards
3,Defenders
4,Forwards
5,Goalkeepers
6,Defenders
7,Midfielders
8,Defenders
9,Midfielders
10,Midfielders
11,Forwards
12,Midfielders
13,Midfielders
14,Goalkeepers
15,Goalkeepers
16,Midfielders
17,Midfielders
18,Defenders
19,Midfielders
20,Midfielders
21,Defenders
22,Defenders
23,Midfielders
24,Defenders
25,Defenders
26,Defenders
27,Forwards
28,Midfielders
29,Midfielders
30,Midfielders
31,Midfielders
32,Defenders
33,Midfielders
34,Midfielders
35,Defenders
36,Defenders
37,Midfielders
38,Forwards
39,Goalkeepers
40,Defenders
41,Midfielders
42,Midfielders
43,Defenders
44,Defenders
45,Defenders
46,Goalkeepers
47,Goalkeepers
48,Midfielders
49,Defenders
50,Defenders
51,Goalkeepers
52,Defenders
53,Midfielders
54,Midfielders
55,Goalkeepers
56,Defenders
57,Midfielders
58,Forwards
59,Defenders
60,Midfielders
61,Midfielders
62,Midfielders
63,Midfielders
64,Midfielders
65,Forwards
66,Midfielders
67,Midfielders
68,Defenders
69,Forwards
70,Defenders
71,Midfielders
72,Defenders
73,Goalkeepers
74,Midfielders
75,Goalkeepers
76,Midfielders
77,Midfielders
78,Midfielders
79,Defenders
80,Midfielders
81,Defenders
82,Forwards
83,Midfielders
84,Goalkeepers
85,Defenders
86,Defenders
87,Midfielders
88,Defenders
89,Midfielders
90,Midfielders
91,Goalkeepers
92,Defenders
93,Defenders
94,Midfielders
95,Midfielders
96,Defenders
97,Midfielders
98,Midfielders
99,Midfielders
100,Defenders
101,Midfielders
102,Midfielders
103,Midfielders
104,Defenders
105,Defenders
106,Midfielders
107,Forwards
108,Forwards
109,Goalkeepers
110,Forwards
111,Midfielders
112,Defenders
113,Midfielders
114,Midfielders
115,Midfielders
116,Defenders
117,Midfielders
118,Midfielders
119,Midfielders
120,Defenders
121,Midfielders
122,Defenders
123,Forwards
124,Midfielders
125,Midfielders
126,Midfielders
127,Midfielders
128,Defenders
129,Forwards
130,Midfielders
131,Defenders
132,Midfielders
133,Midfielders
134,Midfielders
135,Midfielders
136,Midfielders
137,Midfielders
138,Forwards
139,Defenders
140,Midfielders
141,Midfielders
142,Goalkeepers
143,Forwards
144,Defenders
145,Defenders
146,Goalkeepers
147,Defenders
148,Forwards
149,Midfielders
150,Midfielders
151,Midfielders
152,Goalkeepers
153,Defenders
154,Goalkeepers
155,Goalkeepers
156,Forwards
157,Midfielders
158,Midfielders
159,Defenders
160,Defenders
161,Midfielders
162,Defenders
163,Defenders
164,Forwards
165,Forwards
166,Midfielders
167,Defenders
168,Midfielders
